LABEL,TEXT
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
ham,Boo what time u get out? U were supposed to take me shopping today. :(
spam,"	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£2000 Bonus Prize, call 09066364529"
ham,"Haha awesome, omw back now then"
spam,XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380644
ham,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv"
ham,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
ham,"U so lousy, run already come back then half dead... Hee..."
ham,Have a good evening! Ttyl
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,I'm home...
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
ham,S.i'm watching it in live..
ham,Really good:)dhanush rocks once again:)
spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
ham,Are you coming to day for class.
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 .  Help08718728876"
spam,What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
ham,Ok thanx...
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,Ok...
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,"&lt;#&gt; , that's all? Guess that's easy enough"
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,Yup...
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
ham,Otherwise had part time job na-tuition..
ham,Bugis oso near wat... 
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
ham,Dunno lei Ì_ all decide lor. How abt leona? Oops i tot ben is going n i msg him.
spam,	Congratulations YOU'VE Won. You're a Winner in our August Â£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,I just really need shit before tomorrow and I know you won't be awake before like 6
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,Dont know you bring some food
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
spam,Moby Pub Quiz.Win a Â£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP Â£1.50 008704050406 SP Arrow
ham,Try to do something dear. You read something for exams
ham,If you're thinking of lifting me one then no.
ham,If i said anything wrong sorry de:-)
ham,Ok...
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs Â£1.50 each"
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,Yes fine 
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,"Sorry, I'll call later"
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham,"Û_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon \""ham"""
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
ham,"Received, understood n acted upon!"
ham,"Its ok, called mom instead have fun"
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
spam,You have 1 new message. Please call 08718738034.
spam,TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
ham,I cant pick the phone right now. Pls send a message
ham,How. Its a little difficult but its a simple way to enter this place
ham,"Now, whats your house # again ? And do you have any beer there ?"
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
ham,R we going with the  &lt;#&gt;  bus?
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
spam,URGENT! This is the 2nd attempt to contact U!U have WON Â£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxÂ£7. 50
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
ham,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\"""""
spam,"	You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING"""
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,I uploaded mine to Facebook
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,I am literally in bed and have been up for like  &lt;#&gt;  hours
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
ham,Ya! when are Ì_ taking ure practical lessons? I start in june..  
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
spam,"moneycontrol.com now on your BlackBerry! Get stock quotes,  track your portfolio,  watch LIVE TV & more.Get the FREE app at http://m.moneycontrol.com/MoM"
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,I pocked you up there before
ham,Ok lor... But buy wat?
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589"
ham,That's my honeymoon outfit. :)
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
ham,You still at grand prix?
ham,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
ham,Wot u up 2 u weirdo?
spam,We owe you for the last tax year. Please follow our secure link http:Ow.ly/ozvo308t.Jxz for more information.
spam,YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or Â£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
ham,Those were my exact intentions
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
ham,Yup ok thanx...
spam,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,Its sunny in california. The weather's just cool
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,No..its ful of song lyrics..
ham,";-( oh well, c u later"
ham,Host-based IDPS for linux systems.
ham,"Haha I heard that, text me when you're around"
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
spam,"	09066362231 URGENT! Your mobile No 07xxxxxxxxx won a Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,"Yes..but they said its IT.,"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,Can you use foreign stamps for whatever you send them off for? 
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
ham,Am i that much bad to avoid like this?
ham,Oh k:)after that placement there ah?
ham,That was random saw my old roomate on campus. He graduated
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
spam,FREE entry into our Â£350 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
ham,Is ur paper in e morn or aft tmr?
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
spam,"	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
ham,I doubt you could handle 5 times per night in any case...
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
ham,Have you got Xmas radio times. If not i will get it now
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts  call 08000930705
ham,jay says he'll put in  &lt;#&gt;
spam,"(Alert) Your Rbc Royal Bank has been suspended. To unlock your account, click here: http://reac.mobi/@mobile"
ham,"That's good, because I need drugs"
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free
ham,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n"
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
ham,Wah lucky man... Then can save money... Hee...
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
ham,By monday next week. Give me the full gist
ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
ham,I dunno until when... Lets go learn pilates...
ham,No chikku nt yet.. Ya i'm free
spam,"Dear Customer,U've been selected to stay in F1VE STAR hotels - FOR T0DAY'S DRAW! Holiday valued at INR 5,00,000.Dial 7679046492 to claim"
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,Lmao ok I wont be needing u to do my hair anymore.
spam,"One call can change your life.Weight loss & gain 5 to 25 kg no side effect, 100% ayurvedic product with money back guarantee.CALL-9871993238,9871965149"
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,No..few hours before.went to hair cut .
ham,May b approve panalam...but it should have more posts..
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
ham,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... 
ham,Also andros ice etc etc
ham,"Yeah, give me a call if you've got a minute"
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,S....s...india going to draw the series after many years in south african soil..
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,\ER
ham,Genius what's up. How your brother. Pls send his number to my skype.
ham,K:)k:)good:)study well.
ham,Enjoy urself tmr...
ham,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x
ham,K I'll take care of it
ham,Yep. I do like the pink furniture tho.
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
ham,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel
spam,GSOH? Good with the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@Â£1.50rcvd
ham,Then. You are eldest know.
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,No probs hon! How u doinat the mo?
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,S but not able to sleep.
ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins
ham,No just send to you. Bec you in temple na.
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,on hen night. Going with a swing
ham,i am going to bed now prin
spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
ham,To day class is there are no class.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. .."""
ham,Ha ha cool cool chikku chikku:-):-DB-)
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,How come guoyang go n tell her? Then u told her?
ham,O i played smash bros  &lt;#&gt;  religiously.
ham,Need a coffee run tomo?Can't believe it's that time of week already
ham,Oh ho. Is this the first time u use these type of words
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
spam,"Meet Top 35 US universities in Delhi at India Habitat Centre Lodhi Road on Nov 8th, 2 to 6 pm for student admission.Entry Free,  details contact 9911489000"
spam,"Dear customer your PAY2TMKYC has been expired, Itï¿½s will be bl0cked within 24 hour, please contact customer! Care phï¿½ 6200992462 immediately to verify"
ham,Yes just finished watching days of our lives. I love it.
ham,What is this 'hex' place you talk of? Explain!
ham,Shant disturb u anymore... Jia you...
spam,	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
ham,That one week leave i put know that time. Why.
spam,"Wellness Profile -health checkup from Thyrocare: Covers heart, thyroid, kidney, liver, diabetes & more. 63 Wellness Tests @home service with 33% Disc. : 09222201004"
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
ham,Hi mom we might be back later than  &lt;#&gt; 
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
ham,When you came to hostel.
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
spam,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
ham,Also that chat was awesome but don't make it regular unless you can see her in person
ham,I know she called me
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,"Aight, lemme know what's up"
ham,Is ur paper today in e morn or aft?
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
ham,"Sorry, was in the bathroom, sup"
spam,	Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
ham,How? Izzit still raining?
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,Sorry i'm not free...
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
spam,FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,I know you mood off today
ham,thanks for the temales it was wonderful. Thank. Have a great week.
ham,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... 
ham,Gam gone after outstanding innings.
ham,Get ready for  &lt;#&gt;  inches of pleasure...
ham,Please ask mummy to call father
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
ham,ok....take care.umma to you too...
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
spam,	A Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380611
ham,Have you started in skye
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Mathews or tait or edwards or anderson
ham,Oh ho. Is this the first time u use these type of words
ham,You've always been the brainy one.
ham,So i asked how's anthony. Dad. And your bf
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,Then ur physics get a-?
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
ham,No she didnt. I will search online and let you know.
ham,"Aight, I'll text you when I'm back"
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\"""""
spam,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for Â£3/wk
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
ham,Shall i get my pouch?
ham,University of southern california.
ham,Si si. I think ill go make those oreo truffles.
ham,Wife.how she knew the time of murder exactly
ham,Thats cool. How was your day?
ham,If you r @ home then come down within 5 min
ham,I did. One slice and one breadstick. Lol
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge
ham,Sat right? Okay thanks... 
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Ok. How many should i buy.
ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
ham,"That's very rude, you on campus?"
spam,"Your Number has won 365,000 pounds and two mobile phones in the ongoing COCACOLA/UK PROMO. Contact MR. Billy: cocacolaclaimsoffice@yahoo.com +447014233755"
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
ham,Oic... I saw him too but i tot he din c me... I found a group liao...
ham,"Me not waking up until 4 in the afternoon, sup"
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,Okie
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
ham,"Ok, be careful ! Don't text and drive !"
ham,I can take you at like noon
ham,Then she buying today? ÌÏ no need to c meh...
ham,I'm aight. Wat's happening on your side.
